Location
(32.88595252872147, -96.93311154452894)
(32.738133210413004, -96.88131047401576)
(32.9253189902344, -96.76278774595464)
(32.98848271647568, -96.91692617126536)
(32.797720750381416, -96.93186056576158)
(32.71525783278327, -96.80756985350044)
(32.637330873915246, -96.88768056549414)
(32.89019471260063, -96.79722370150408)
(32.71598908395897, -96.78563923441546)
(32.95491520338622, -96.93794979513012)
(32.95345030346888, -96.75718426331456)
(32.76459045442929, -96.89901254745313)
(33.014863821801505, -96.85167675511796)
(32.66418917818422, -96.91437073584464)
(32.97035598299356, -96.78185991279814)
(32.95398131333507, -96.74892735185443)
(32.84408955393962, -96.68531710132358)
(32.78012045806182, -96.79536828457108)
(32.96301782184229, -96.77799346148356)
(32.97612135513988, -96.78875292819566)
(32.912378877965374, -96.9276717446956)
(32.71901431144591, -96.86401455364552)
(32.65893438962588, -96.87880662953636)
(32.66753809019875, -96.86699778343184)
(32.884434427538075, -96.84429663509484)
(32.77673186331915, -96.88489204199404)
(32.734867088218365, -96.69484650659854)
(32.88944463692813, -96.78044728172368)
(32.69598953796074, -96.74908547025636)
(32.69285133548249, -96.8404747343277)
(33.02797061751998, -96.77237949842372)
(32.8524953763932, -96.76071916239788)
(32.96847275584792, -96.73683482610036)
(32.71948073099161, -96.93125865283004)
(32.7545312605993, -96.86967218436772)
(32.71215249770295, -96.6932116817592)
(32.982068538272515, -96.85740484175444)
(32.892447807558504, -96.8362468938575)
(32.9975563954935, -96.8197238794832)
(32.73401616572151, -96.87519032348654)
(32.85428771440578, -96.87097878087702)
(32.8637061320485, -96.70499546732523)
(32.78858488763444, -96.88232714956266)
(33.03122163297011, -96.80647972952256)
(32.66344422240413, -96.92733407283636)
(32.671046065220175, -96.7756605079856)
(32.94787666229295, -96.82931358244323)
(32.65233672210724, -96.83990919707205)
(33.03064713503578, -96.80136024354692)
(33.020488339273136, -96.71467698405267)
